meanX,sdX,rangeX,meanY,sdY,rangeY,meanZ,sdZ,rangeZ,wristArmed,label,studentId
0.9647,0.1477,0.5413,-0.2294,0.0344,0.1130,-0.0049,0.5506,1.7214,1,right,11611553
0.9995,0.1485,0.5413,-0.2230,0.0350,0.1130,0.0749,0.4708,1.7214,1,right,11611553
1.0302,0.0789,0.3108,-0.2018,0.0230,0.0865,0.1411,0.3388,0.9173,1,right,11611553
0.9979,0.0711,0.2473,-0.1935,0.0197,0.0704,-0.0401,0.1728,0.7211,1,right,11611553
1.0124,0.0555,0.1780,-0.1951,0.0164,0.0567,-0.1012,0.0472,0.1514,1,right,11611553
0.9881,0.0236,0.0994,-0.1950,0.0161,0.0503,-0.0812,0.0425,0.1583,1,still,11611553
0.9902,0.0219,0.0810,-0.1986,0.0136,0.0503,-0.0562,0.0161,0.0536,1,still,11611553
0.9980,0.0121,0.0461,-0.2049,0.0038,0.0132,-0.0489,0.0065,0.0276,1,still,11611553
1.0020,0.0117,0.0461,-0.2053,0.0037,0.0131,-0.0461,0.0054,0.0183,1,still,11611553
1.0040,0.0126,0.0461,-0.2042,0.0032,0.0116,-0.0418,0.0092,0.0295,1,still,11611553
0.9983,0.0136,0.0428,-0.2038,0.0039,0.0184,-0.0463,0.0117,0.0386,1,still,11611553
0.9988,0.0143,0.0442,-0.1996,0.0087,0.0306,-0.0498,0.0145,0.0427,1,still,11611553
1.0007,0.0161,0.0564,-0.1959,0.0074,0.0253,-0.0495,0.0159,0.0455,1,still,11611553
1.0153,0.0375,0.1387,-0.1922,0.0063,0.0246,-0.0284,0.0574,0.2163,1,right,11611553
1.0432,0.0532,0.1714,-0.1909,0.0043,0.0172,0.0261,0.1013,0.2901,1,right,11611553
1.0216,0.0804,0.2680,-0.1875,0.0138,0.0581,-0.0152,0.1554,0.5316,1,right,11611553
0.9880,0.1017,0.2830,-0.1664,0.0362,0.0978,-0.0897,0.2120,0.5732,1,right,11611553
0.9660,0.0905,0.2830,-0.1463,0.0402,0.0978,-0.1583,0.1979,0.5732,1,right,11611553
0.9438,0.0564,0.1700,-0.1272,0.0292,0.0969,-0.2164,0.1053,0.2925,1,right,11611553
0.9700,0.0566,0.1700,-0.1171,0.0113,0.0392,-0.1709,0.1217,0.3125,1,right,11611553
1.0019,0.0228,0.0935,-0.1202,0.0092,0.0319,-0.1183,0.0751,0.2639,1,right,11611553
0.9522,0.1348,0.5356,-0.1189,0.0298,0.1609,-0.2770,0.4149,1.5634,1,right,11611553
0.9392,0.2021,0.7991,-0.1885,0.1289,0.4354,-0.3516,0.6232,2.5981,1,right,11611553
0.9162,0.2071,0.7991,-0.1739,0.1391,0.4583,-0.1132,0.8516,2.8794,1,right,11611553
0.9285,0.2163,0.7991,-0.1968,0.1363,0.4583,-0.0852,0.8555,2.8794,1,right,11611553
0.9931,0.1807,0.7910,-0.2215,0.1232,0.4583,0.0578,0.7169,2.8794,1,right,11611553
1.0023,0.0922,0.3387,-0.1616,0.0608,0.2118,0.1109,0.4971,1.5900,1,right,11611553
1.0174,0.0540,0.1908,-0.1848,0.0286,0.0832,-0.1492,0.1228,0.5653,1,right,11611553
1.0007,0.0345,0.1500,-0.1770,0.0217,0.0832,-0.1736,0.0680,0.2271,1,right,11611553
1.0067,0.0385,0.1348,-0.1713,0.0116,0.0346,-0.1088,0.0591,0.2494,1,right,11611553
1.0388,0.0612,0.1681,-0.1787,0.0091,0.0342,-0.0195,0.1366,0.3950,1,right,11611553
1.0240,0.0838,0.2808,-0.1873,0.0096,0.0338,-0.0125,0.1471,0.5263,1,right,11611553
1.0028,0.1005,0.2870,-0.1823,0.0167,0.0686,-0.0726,0.2123,0.6178,1,right,11611553
0.9783,0.0938,0.2870,-0.1722,0.0256,0.0774,-0.1443,0.2306,0.6178,1,right,11611553
0.9508,0.0561,0.1667,-0.1667,0.0243,0.0774,-0.2191,0.1381,0.4669,1,right,11611553
0.9681,0.0462,0.1656,-0.1538,0.0136,0.0525,-0.1911,0.1524,0.3829,1,right,11611553
0.9952,0.0257,0.0943,-0.1504,0.0106,0.0401,-0.1168,0.1233,0.3826,1,right,11611553
1.0052,0.0134,0.0476,-0.1521,0.0080,0.0282,-0.0583,0.0496,0.2014,1,still,11611553
0.9988,0.0151,0.0476,-0.1478,0.0034,0.0168,-0.0451,0.0338,0.1056,1,still,11611553
1.0084,0.0175,0.0605,-0.1467,0.0027,0.0101,-0.0474,0.0303,0.0950,1,still,11611553
1.0075,0.0187,0.0605,-0.1480,0.0049,0.0187,-0.0435,0.0296,0.0950,1,still,11611553
1.0032,0.0201,0.0617,-0.1486,0.0052,0.0174,-0.0394,0.0254,0.0800,1,still,11611553
1.0101,0.0171,0.0617,-0.1479,0.0054,0.0185,-0.0352,0.0255,0.0800,1,still,11611553
1.0048,0.0144,0.0568,-0.1488,0.0053,0.0185,-0.0429,0.0208,0.0693,1,still,11611553
1.0015,0.0121,0.0385,-0.1461,0.0046,0.0189,-0.0443,0.0171,0.0623,1,still,11611553
1.0060,0.0093,0.0312,-0.1449,0.0036,0.0142,-0.0418,0.0158,0.0530,1,still,11611553
1.0040,0.0090,0.0312,-0.1436,0.0044,0.0154,-0.0383,0.0178,0.0530,1,still,11611553
0.9994,0.0136,0.0601,-0.1430,0.0040,0.0171,-0.0569,0.0582,0.2720,1,right,11611553
0.9273,0.1388,0.4469,-0.1691,0.0660,0.2477,-0.2687,0.3868,1.1670,1,right,11611553
0.9708,0.1914,0.7379,-0.2022,0.0857,0.2477,-0.1895,0.5068,1.9421,1,right,11611553
0.9740,0.1976,0.7379,-0.1918,0.0955,0.3119,-0.0473,0.6165,1.9931,1,right,11611553
0.9808,0.2010,0.7379,-0.2099,0.0928,0.3119,-0.0652,0.6191,1.9931,1,right,11611553
1.0712,0.1150,0.4001,-0.2034,0.0782,0.3025,0.0861,0.4310,1.3241,1,right,11611553
1.0134,0.0764,0.2456,-0.1725,0.0558,0.1795,-0.0249,0.3590,1.1307,1,right,11611553
0.9948,0.0678,0.2104,-0.1926,0.0351,0.1038,-0.2037,0.0718,0.2973,1,right,11611553
0.9890,0.0579,0.2029,-0.1850,0.0292,0.1038,-0.1964,0.0585,0.1681,1,right,11611553
