meanAx,sdAx,rangeAx,meanAy,sdAy,rangeAy,meanAz,sdAz,rangeAz,meanGx,sdGx,rangeGx,meanGy,sdGy,rangeGy,meanGz,sdGz,rangeGz,label,studentId
0.6766,0.367,1.0901,-0.2102,0.064,0.2019,-0.5317,0.2551,-0.8254,-1.1597,18.3738,-62.6221,-212.1663,85.6116,-274.9023,18.8802,20.1199,-71.4722,right,11804106
0.8809,0.4446,1.2682,-0.2447,0.0578,0.2013,-0.4116,0.1981,-0.6722,0.2889,34.4019,-135.6812,-270.2718,98.3183,-314.27,23.0306,15.4669,-60.9741,right,11804106
0.4785,0.3059,1.1043,-0.2413,0.1775,0.6663,-0.5766,0.4085,-1.0973,56.7586,35.8436,-114.9292,-141.4469,101.7401,-307.4341,11.5845,8.0724,-34.4849,right,11804106
1.0119,0.3981,1.243,-0.1983,0.102,0.3404,-0.2481,0.2526,-0.952,30.0374,58.699,-184.082,-282.7352,104.0736,-316.2231,22.6888,21.2823,-76.0498,right,11804106
1.0599,0.44,1.3358,-0.2976,0.0921,0.3208,-0.2168,0.2928,-1.0051,-18.8761,21.5948,-86.5479,-270.3939,147.2735,-485.1074,30.6885,14.8536,-56.0913,right,11804106
1.0066,0.3708,1.4069,-0.1658,0.0833,0.2775,-0.2495,0.1872,-0.539,-10.3312,42.7354,-162.0483,-249.0031,174.4404,-439.7583,23.6003,29.6595,-82.7637,left,11804106
1.1244,0.2138,0.8303,-0.1427,0.1206,0.3928,-0.2106,0.1577,-0.5376,2.6611,38.314,-153.6865,-266.9189,195.7496,-531.311,-21.0246,43.523,-120.6665,left,11804106
1.0069,0.388,1.3701,-0.1206,0.1899,0.7003,-0.3025,0.1678,-0.5048,43.7256,98.2844,-332.8247,-252.3234,161.0644,-427.3682,-18.9941,37.4842,-111.8774,left,11804106
1.0339,0.3838,1.3534,-0.1793,0.1669,0.5659,-0.4087,0.1955,-0.6764,49.8698,49.1866,-177.3071,-225.9888,194.509,-496.7041,-9.9121,28.4767,-86.731,left,11804106
0.9232,0.3232,1.13,-0.1201,0.0651,0.2156,-0.4966,0.1235,-0.4746,19.5109,19.0561,-71.4111,-238.4766,132.0036,-367.9199,-21.0531,35.5468,-96.4355,left,11804106
1.0502,0.3054,1.0576,-0.2338,0.1725,0.5633,-0.2233,0.1334,-0.4278,10.5143,62.6839,-221.7407,-227.1973,139.089,-375.3052,21.6349,40.8105,-135.0098,left,11804106
1.0062,0.3605,1.1904,-0.2401,0.2761,1.2113,-0.3574,0.2984,-1.0358,-26.6724,27.8074,-102.5391,-261.4461,160.4876,-475.5859,-8.1462,57.1455,-213.6841,left,11804106
1.0737,0.1943,0.8239,-0.1196,0.0536,0.2085,-0.3621,0.2044,-0.6663,-18.7012,34.0965,-123.291,-183.9233,131.3582,-379.8218,-4.7119,22.2426,-75.3784,left,11804106
0.8161,0.3536,1.1527,-0.1822,0.0999,0.3506,-0.5133,0.1572,-0.4816,2.5675,33.3508,-114.502,-256.7179,80.85,-246.521,-6.7546,41.5432,-133.1787,left,11804106
1.142,0.2521,0.9847,-0.1121,0.0809,0.2514,-0.1414,0.1462,-0.474,-24.5077,42.4422,-154.8462,-249.6785,157.1548,-417.1143,-49.5076,30.8598,-90.8813,left,11804106
1.0706,0.1591,0.4982,-0.1204,0.2469,0.9299,-0.1094,0.2757,-0.9714,10.3353,40.4259,-172.7295,-287.2274,171.2999,-521.1792,-16.0889,59.9889,-187.0728,left,11804106
0.9474,0.3609,1.282,-0.1117,0.1401,0.494,-0.3664,0.185,-0.6066,7.8491,19.7924,-80.5664,-259.786,94.4899,-297.6074,-23.1974,35.8534,-117.1265,left,11804106
1.0576,0.298,1.2125,-0.1328,0.0964,0.3707,-0.2918,0.2344,-0.819,-20.0399,30.9452,-107.1777,-262.8174,117.6682,-365.2344,-14.7502,24.743,-81.9092,left,11804106
1.0521,0.2998,1.1661,-0.1044,0.1411,0.5028,-0.2892,0.1788,-0.4996,8.6507,57.4086,-200.6836,-266.4144,162.2185,-413.4521,-8.7891,15.979,-46.875,left,11804106
0.9573,0.3063,1.1832,-0.1663,0.1183,0.4251,-0.3013,0.203,-0.6874,-18.3879,32.7094,-108.2764,-282.076,127.0664,-388.2446,-5.778,22.3702,-71.7773,left,11804106
1.0054,0.3295,1.1473,-0.1126,0.0975,0.3537,-0.2845,0.1701,-0.6409,7.3975,43.2185,-138.2446,-271.3582,139.2002,-412.9028,-0.5127,39.3054,-138.1226,left,11804106
1.088,0.2914,1.05,-0.1603,0.116,0.4268,-0.2966,0.2128,-0.7289,-7.2306,29.775,-102.9663,-278.2104,165.9596,-483.3984,-10.1807,32.8472,-133.9722,left,11804106
0.8906,0.3102,0.9035,-0.1162,0.0789,0.2667,-0.4017,0.1716,-0.5306,16.1987,59.9615,-183.96,-272.7743,85.9347,-280.4565,-47.2656,42.5112,-113.7695,left,11804106
0.9014,0.2297,1.0155,-0.0724,0.1732,0.7068,-0.6331,0.0997,-0.396,29.1992,54.7597,-155.2124,-213.6353,134.1864,-382.8125,-44.7103,45.5375,-138.9771,left,11804106
0.9707,0.3478,1.2399,-0.011,0.0973,0.315,-0.3689,0.2072,-0.6835,29.0039,23.2085,-76.2329,-283.8338,138.7621,-374.5117,-21.1426,32.9199,-112.1826,left,11804106
0.8992,0.355,1.1452,-0.0194,0.1333,0.4276,-0.2785,0.2985,-0.8249,20.341,20.1132,-67.0166,-346.0856,76.2301,-248.0469,12.2396,42.8633,-142.7002,left,11804106
1.0412,0.1833,0.808,-0.1245,0.0332,0.1185,-0.3293,0.1868,-0.6077,16.3249,33.9718,-124.8779,-217.452,150.6583,-437.3169,2.3315,21.3205,-67.749,left,11804106
0.936,0.2502,0.8832,-0.0709,0.1222,0.4525,-0.3914,0.1676,-0.5281,42.3706,65.6035,-179.5044,-278.4383,123.4416,-373.5962,8.6019,19.4307,-67.0166,left,11804106
0.8613,0.2654,0.8848,-0.0105,0.0516,0.179,-0.5217,0.1498,-0.5554,-5.8879,39.0214,-121.3379,-249.3571,95.2676,-282.4097,-48.7712,24.7582,-79.4067,left,11804106
1.0068,0.217,0.8793,-0.0035,0.0593,0.1985,-0.4128,0.2527,-0.7862,-4.4596,17.8366,-69.9463,-268.0786,99.0222,-287.7808,-39.1927,23.7053,-96.2524,left,11804106
1.0566,0.267,1.0585,-0.0734,0.0926,0.3129,-0.3077,0.2064,-0.6967,18.3919,31.5536,-100.9521,-229.1301,130.4272,-382.1411,-30.3752,29.9365,-107.605,left,11804106
